01	1	9.7823
01	2	9.7930
01	3	9.8046
01	4	9.8170
01	5	9.8303
01	6	9.8444
01	7	9.8593
01	8	9.8751
01	9	9.8916
01	10	9.9089
01	11	9.9270
01	12	9.9458
01	13	9.9654
01	14	9.9857
01	15	10.0067
01	16	10.0283
01	17	10.0507
01	18	10.0737
01	19	10.0973
01	20	10.1216
01	21	10.1465
01	22	10.1719
01	23	10.1979
01	24	10.2245
01	25	10.2517
01	26	10.2793
01	27	10.3075
01	28	10.3361
01	29	10.3652
01	30	10.3948
01	31	10.4248
02	1	10.4552
02	2	10.4861
02	3	10.5173
02	4	10.5490
02	5	10.5810
02	6	10.6133
02	7	10.6460
02	8	10.6790
02	9	10.7123
02	10	10.7459
02	11	10.7798
02	12	10.8140
02	13	10.8485
02	14	10.8832
02	15	10.9181
02	16	10.9532
02	17	10.9886
02	18	11.0242
02	19	11.0600
02	20	11.0959
02	21	11.1321
02	22	11.1684
02	23	11.2048
02	24	11.2414
02	25	11.2782
02	26	11.3151
02	27	11.3521
02	28	11.3892
03	1	11.4264
03	2	11.4637
03	3	11.5012
03	4	11.5387
03	5	11.5763
03	6	11.6139
03	7	11.6517
03	8	11.6895
03	9	11.7273
03	10	11.7652
03	11	11.8032
03	12	11.8412
03	13	11.8792
03	14	11.9172
03	15	11.9553
03	16	11.9933
03	17	12.0314
03	18	12.0695
03	19	12.1076
03	20	12.1457
03	21	12.1838
03	22	12.2218
03	23	12.2599
03	24	12.2979
03	25	12.3359
03	26	12.3738
03	27	12.4117
03	28	12.4496
03	29	12.4874
03	30	12.5252
03	31	12.5629
04	1	12.6005
04	2	12.6380
04	3	12.6755
04	4	12.7129
04	5	12.7502
04	6	12.7874
04	7	12.8245
04	8	12.8614
04	9	12.8983
04	10	12.9351
04	11	12.9717
04	12	13.0081
04	13	13.0445
04	14	13.0806
04	15	13.1167
04	16	13.1525
04	17	13.1882
04	18	13.2237
04	19	13.2590
04	20	13.2941
04	21	13.3290
04	22	13.3637
04	23	13.3981
04	24	13.4323
04	25	13.4663
04	26	13.5000
04	27	13.5334
04	28	13.5666
